RANK,NAME,TEAM,POS,AGE,GP,MPG,USGp,Top,FTA,FTp,TwPA,TwPp,ThPA,ThPp,eFGp,TSp,PPG,RPG,TRB,APG,AST,SPG,BPG,TPG,VI,ORTG,DRTG
107,Tyler Johnson,Bro,G,28.43,4,23.2,22.2,6,2,1,18,0.556,28,0.393,0.576,0.587,13.8,1.8,3.8,2.3,18.4,0,0.25,0.75,6.6,116,104.5
108,Nikola Jokic,Den,C,25.64,19,36.5,28.9,14.1,79,0.835,245,0.555,98,0.429,0.58,0.614,24.4,9.8,16,5.7,28.6,1.05,0.79,3.26,12.2,116.4,102.9
109,Derrick Jones Jr.,Mia,F,23.66,15,6.5,9.9,9.4,5,0.4,8,0.5,9,0.444,0.588,0.573,1.5,0.9,7.7,0.5,10.4,0.4,0.33,0.13,5.4,124.6,99.4
110,Enes Kanter,Bos,C,28.39,10,10.3,21.9,7.9,10,0.5,41,0.512,1,1,0.536,0.539,5,4.3,23.6,0.7,11.9,0,0,0.4,9.6,119.5,90.1
111,Michael Kidd-Gilchrist,Dal,F,27.04,6,9.2,13.8,5.7,6,0.667,5,0.4,9,0.222,0.357,0.421,2.3,1,6,0.5,6.9,0.17,0.17,0.17,4.6,99.1,102.4
112,Maxi Kleber,Dal,F,28.7,6,33.9,10.2,8.3,12,0.75,13,0.615,26,0.192,0.397,0.452,6.7,6.5,10.5,1.5,5.5,0.33,1.17,0.67,4.8,105.7,106.1
113,Furkan Korkmaz,Phi,G-F,23.22,4,10.1,12.1,17.9,5,0.6,1,0,6,0,0,0.163,0.8,1.5,8,0.5,7.2,0.25,0,0.5,3.3,41.3,105.7
114,Kyle Korver,Mil,G-F,39.57,10,11.9,20,9.1,7,1,10,0.5,37,0.405,0.585,0.619,6.2,0.9,4.1,0.1,1.3,0.2,0.2,0.5,2.8,110.5,102
115,Rodions Kurucs,Bro,F,22.68,4,14.6,16.8,12.6,2,0,12,0.917,8,0,0.55,0.527,5.5,3.3,11.2,0.8,9.1,0.25,0.5,0.75,6.7,99.3,97
116,Kyle Kuzma,Lal,F,25.22,21,23,19.5,9.7,37,0.784,96,0.531,83,0.313,0.503,0.535,10,3.1,7.9,0.8,5,0.29,0.33,1,5.1,104.8,102.6
117,Romeo Langford,Bos,G-F,20.97,7,6.5,12.5,15.5,2,0.5,8,0.375,2,0.5,0.45,0.46,1.4,0.4,3.7,0.3,6.2,0.14,0,0.29,3.4,85.4,104.6
118,Vic Law,Orl,F,24.81,1,3.6,11.9,0,0,0,0,0,1,1,1.5,1.5,3,2,28.5,1,55.9,0,0,0,20.2,,
119,Kawhi Leonard,Lac,F,29.29,13,39.3,29.4,9.6,94,0.862,195,0.549,73,0.329,0.534,0.593,28.2,9.3,13.2,5.5,23.9,2.31,0.85,2.54,11.5,120.1,102.6
120,Meyers Leonard,Mia,C,28.62,3,10.3,13.1,0,2,1,4,0.75,4,0.5,0.75,0.788,4.7,0.3,1.9,1,15.8,0.33,0,0,4.4,163.9,101.9
121,Caris LeVert,Bro,G,26.13,4,34.9,28.6,13.4,25,0.72,52,0.346,21,0.429,0.432,0.482,20.3,5.8,8.3,9.5,48.5,1.25,0.25,3.25,11.9,106.9,108.7
122,Damian Lillard,Por,G,30.24,4,35.7,27,15.1,33,0.97,31,0.419,33,0.394,0.508,0.618,24.3,3.5,5.2,4.3,19.8,0.5,0.25,3.5,8,116.3,118.6
123,Brook Lopez,Mil,C,32.53,10,32.8,17.7,8.9,20,0.75,61,0.656,53,0.396,0.627,0.643,15.8,5.5,9,0.5,2.4,1,1.3,1.2,4.3,120,99.4
124,Robin Lopez,Mil,C,32.53,3,6.9,8.4,0,0,0,4,0.75,0,0,0.75,0.75,2,1.3,10.4,0,0,0,0,0,0,145.2,97.8
125,Kyle Lowry,Tor,G,34.55,11,37.6,21.6,13.8,60,0.8,76,0.513,72,0.319,0.497,0.559,17.7,6.5,9.4,5.8,23.9,1.73,0.73,2.55,9.3,111.8,97.6
126,Timothe Luwawu-Cabarrot,Bro,G-F,25.43,4,32.9,22.7,11.1,12,0.917,20,0.35,39,0.333,0.449,0.498,16,3.8,5.8,1.5,7.6,0.75,0,2,5.5,95.3,103.6
127,Terance Mann,Lac,G-F,23.98,13,2.1,11.2,28.6,0,0,3,0.667,2,0,0.4,0.4,0.3,0.5,14.3,0.1,4.7,0.08,0,0.15,4.7,,
128,Boban Marjanovic,Dal,C,32.16,6,13.7,19.4,8.1,9,0.778,29,0.586,1,0,0.567,0.604,6.8,5.8,23.3,0.8,9.3,0,0.33,0.5,9.2,123.1,99.9
129,Jeremiah Martin,Bro,G,24.31,3,9,25.2,12.2,1,1,9,0.111,5,0.6,0.393,0.416,4,1,5.6,1.3,24.5,0,0.33,0.67,7.7,87.8,108.1
130,Frank Mason,Mil,G,26.53,2,1.1,0,,0,0,0,0,0,0,,,0,0,0,0.5,57.6,0,0,0,0,,
131,Wesley Matthews,Mil,G,34,10,24.6,12,10.2,10,0.7,14,0.5,43,0.395,0.57,0.586,7.2,1.8,3.9,0.9,5,0.9,0.4,0.7,3.7,112.5,100.6
132,CJ McCollum,Por,G,29.06,5,39.2,26.3,12.1,22,0.682,64,0.484,35,0.371,0.51,0.534,23.2,5.8,7.8,3.2,14.6,1.2,0.4,3,7.7,102.4,114.1
133,T.J. McConnell,Ind,G,28.55,3,9.3,17.9,18.4,2,0.5,8,0.375,0,0,0.375,0.394,2.3,2,12.5,2.3,38.3,0,0,0.67,9.4,91.8,96.6
134,Doug McDermott,Ind,F,28.77,4,13.6,13.5,6.3,0,0,5,0.4,10,0.2,0.333,0.333,2.5,0.8,3.2,0.3,2.7,0.25,0,0.25,2.5,67.8,110.2
135,JaVale McGee,Lal,C-F,32.73,14,9.7,13.5,21.5,2,0.5,30,0.667,2,0,0.625,0.623,2.9,3.1,19.2,0.5,7.3,0.14,0.71,0.64,6.8,113.3,93
136,Rodney McGruder,Lac,G,29.21,5,3.1,14,0,0,0,2,0.5,3,0.667,0.8,0.8,1.6,0.8,14.2,0.4,19.5,0,0,0,10.3,,
137,Ben McLemore,Hou,G,27.67,11,11.8,14.9,7,0,0,4,0.25,36,0.389,0.55,0.55,4,1,4.7,0.5,7,0.36,0,0.27,4.3,109.5,109.5
138,Khris Middleton,Mil,F,29.17,10,35.5,28.4,14.5,46,0.826,115,0.417,65,0.354,0.458,0.507,20.3,6.9,10.4,6,26.9,1.1,0.2,3.4,10.6,99.9,94.2
139,Malcolm Miller,Tor,G-F,27.6,1,5.3,25,0,0,0,2,0,1,1,0.5,0.5,3,0,0,0,0,0,0,0,0,97.8,74.3
140,Paul Millsap,Den,F,35.67,19,24.2,16.5,15,54,0.796,74,0.432,44,0.341,0.462,0.536,8,4.7,11.5,1.2,7.1,0.63,0.47,1.32,5.9,105.9,104.4
141,Shake Milton,Phi,G-F,24.04,4,31.5,18.3,11.3,7,0.857,19,0.579,25,0.4,0.591,0.616,14.5,3.3,5.5,2.8,16.6,0.5,0,1.5,6.5,116.6,104.4
142,Donovan Mitchell,Uta,G,24.09,7,37.7,37.5,13.7,58,0.948,93,0.538,64,0.516,0.634,0.696,36.3,5,7.8,4.9,25.6,1,0.29,4.14,10.2,125.4,109.8
143,Juwan Morgan,Uta,F,23.49,7,12.3,8.5,6.4,6,0.333,2,0.5,10,0.2,0.333,0.342,1.4,3,14.2,0.7,7.4,0.29,0,0.14,4.7,101.7,99
144,Marcus Morris Sr.,Lac,F,31.11,13,29.9,14.2,7.1,14,0.929,52,0.538,59,0.475,0.631,0.653,11.8,4.8,9,1.6,7.7,0.85,0.08,0.69,6,129.4,101.3
145,Markieff Morris,Lal,F,31.11,21,18.4,13.4,14.3,9,0.778,29,0.517,69,0.42,0.597,0.608,5.9,3,9.8,1,7,0.29,0.14,0.81,5.7,112.2,97.5
146,Monte Morris,Den,G,25.29,19,21.4,17.7,6.3,34,0.824,93,0.581,40,0.3,0.541,0.581,9.1,1.5,4.3,2.7,19.9,0.63,0.11,0.53,6.2,123.8,113.1
147,Emmanuel Mudiay,Uta,G,24.6,3,11.3,22,6.3,2,0.5,11,0.273,3,0.667,0.429,0.437,4.3,2,10.4,0.7,8.8,0,0.33,0.33,6.4,94,115
148,Jamal Murray,Den,G,23.63,19,39.6,27.6,11.6,78,0.897,231,0.537,137,0.453,0.59,0.626,26.5,4.8,7.3,6.6,30,0.95,0.32,2.79,9.5,121.5,111.7
149,Dzanan Musa,Bro,G-F,21.43,3,13.1,21.1,14.9,14,0.714,5,0.4,6,0,0.182,0.408,4.7,1,3.8,1.3,14.4,0,0.33,1,5.6,88,112.3
150,Mike Muscala,Okc,F-C,29.28,2,9.9,4.4,0,0,0,1,0,1,1,0.75,0.75,1.5,2,10.6,0.5,7.2,0,0,0,4.6,158.8,101.2
151,Abdel Nader,Okc,F,27.05,3,8.5,13.4,0,2,0.5,2,0,5,0.2,0.214,0.254,1.3,1,6.2,0,0,0.33,0.67,0,0,65.2,108.6
152,Raul Neto,Phi,G,28.4,2,12.9,16.9,10,0,0,4,0.25,5,0.4,0.444,0.444,4,1.5,6.2,1.5,20.2,0.5,0,0.5,6.4,95.7,113.7
153,Georges Niang,Uta,F,27.32,7,16.3,19.2,4.3,2,1,15,0.667,29,0.414,0.636,0.646,8.3,2.1,7.7,0.6,5.6,0,0.14,0.29,5.4,127.7,107.8
154,Joakim Noah,Lac,F-C,35.63,2,1,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
155,Nerlens Noel,Okc,C-F,26.51,7,13.9,10.4,8.5,10,0.5,16,0.5,1,0,0.471,0.491,3,4.1,15.6,0.4,4.6,0.29,0.71,0.29,4.9,106.8,93
156,Kendrick Nunn,Mia,G,25.19,15,15.9,20.4,11.2,8,1,49,0.49,43,0.279,0.457,0.482,6.1,2.1,7.7,1.3,13.3,0.2,0.2,0.8,6.4,94.5,105.4
157,Jusuf Nurkic,Por,C,26.14,5,32.3,20.7,16.2,23,0.783,46,0.478,11,0.273,0.465,0.529,14.2,10.6,17.3,3.6,17.8,1.4,0.2,2.6,10.1,108,100.9
158,Semi Ojeleye,Bos,F,25.85,13,9.4,10.9,3.3,2,1,5,0.4,23,0.217,0.339,0.364,1.6,0.9,5.5,0.1,1.1,0.23,0,0.08,2.2,81.8,105.5
159,Victor Oladipo,Ind,G,28.44,4,30.6,28.9,18.2,16,0.938,23,0.435,33,0.364,0.5,0.563,17.8,3.3,6.2,2.5,14.1,2.25,0,3.5,6.9,96.2,98.6
160,Kelly Olynyk,Mia,C,29.48,17,15.2,21.1,10.8,28,0.821,46,0.609,49,0.347,0.563,0.606,7.6,4.6,17.6,1.1,12.2,0.24,0.47,0.76,8.9,116.6,96.2
161,Royce O'Neale,Uta,F,27.35,7,35.5,9,27.3,6,0.5,10,0.3,22,0.455,0.563,0.563,5.6,5.4,9,2.7,10,1.29,0.29,1.86,4.9,99,102
162,Miye Oni,Uta,G-F,23.19,2,7,23.4,14.3,0,0,2,1,4,0.25,0.583,0.583,3.5,2,16.7,0,0,0.5,0.5,0.5,0,108.1,94.9
163,Kyle O'Quinn,Phi,C-F,30.55,1,5.7,15.3,100,0,0,0,0,0,0,,,0,1,9.4,1,25.3,0,0,2,0,,57.1
164,Patrick Patterson,Lac,F,31.58,2,4.9,13.5,0,0,0,0,0,3,1,1.5,1.5,4.5,0.5,5.7,2,76.9,0,0,0,13.5,280.1,103.6
165,Chris Paul,Okc,G,35.44,7,37.3,24.2,15.7,26,0.885,69,0.565,43,0.372,0.563,0.604,21.3,7.4,10.4,5.3,26.1,1.57,0.43,3.29,10.1,111.2,102.5
166,Norvel Pelle,Phi,F,27.69,1,6.5,0,,0,0,0,0,0,0,,,0,0,0,0,0,1,1,0,0,,108.4
167,Mason Plumlee,Den,F-C,30.61,19,10.9,12.2,19.9,12,0.667,38,0.5,1,0,0.487,0.519,2.4,3.2,17.6,1.3,17,0.21,0.42,0.58,7.9,119.6,94.6
168,Vincent Poirier,Bos,C-F,26.96,1,1.8,0,,0,0,0,0,0,0,,,0,0,0,1,70.4,1,0,0,0,,
169,Michael Porter Jr.,Den,F,22.29,19,23.7,20.6,12.2,35,0.743,75,0.587,89,0.382,0.579,0.602,11.4,6.7,16.7,0.8,5.6,0.68,0.32,1.32,6.6,110.6,102.7
170,Kristaps Porzingis,Dal,F-C,25.2,3,31.5,24.2,5.6,23,0.87,23,0.522,17,0.529,0.638,0.708,23.7,8.7,15,0.7,3.3,0,1,1,6.7,137.8,104.3
171,Norman Powell,Tor,G,27.38,11,24.8,20.6,8.6,29,0.793,52,0.558,52,0.423,0.596,0.629,13.4,2.4,5.1,1,6.6,0.55,0.27,1,5.1,116.7,100.4
172,Josh Reaves,Dal,G-F,23.36,2,4.6,23.1,20.5,2,1,2,0.5,1,0,0.333,0.515,2,1,12,0.5,14.6,0,0.5,0.5,8.7,95.8,103.2
173,Josh Richardson,Phi,G,27.07,4,36.1,21.7,11.1,18,0.944,28,0.357,28,0.357,0.446,0.524,16.8,3.8,5.6,3.3,16.3,0.5,0.5,2,6.6,107.3,107.2
174,Austin Rivers,Hou,G,28.2,12,17.6,15.9,10.7,13,0.769,26,0.385,35,0.257,0.385,0.427,4.8,2.5,7.9,1.3,11.1,0.58,0.08,0.67,5.7,90.9,103.1
175,Andre Roberson,Okc,G-F,28.86,1,3.4,12.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
176,Duncan Robinson,Mia,F,26.47,21,28.6,15.8,7.7,38,0.868,20,0.65,156,0.397,0.602,0.636,11.7,2.8,5.6,1.8,9.7,0.67,0.29,0.76,5.4,121.7,103.3
177,Rajon Rondo,Lal,G,34.64,16,24.7,18,20.8,19,0.684,71,0.493,50,0.4,0.537,0.553,8.9,4.3,10.3,6.6,37.1,1.44,0.13,2.13,10.2,114.2,99.9
178,Terrence Ross,Orl,G-F,29.68,5,27,24.7,10.2,14,0.857,34,0.588,30,0.333,0.547,0.584,16.4,4.4,8.4,1,6.7,0.8,0.2,1.6,6.2,105.8,101.8
179,JaKarr Sampson,Ind,F,27.56,4,12.5,16.6,11.1,0,0,16,0.625,0,0,0.625,0.625,5,3.3,15.3,1,14.4,0.5,0,0.5,8.1,115.6,86.7
180,Dennis Schroder,Okc,G,27.07,7,32.4,26,12.4,25,0.8,64,0.484,45,0.289,0.463,0.504,17.3,3.7,6,3.6,19.7,0.57,0.14,2.43,7.6,97.8,106.5
181,Mike Scott,Phi,F,32.24,4,5,14.8,0,4,1,3,0.333,2,0,0.2,0.444,1.5,2,21.6,0.3,7.8,0,0,0,7.7,119.8,100.7
182,Landry Shamet,Lac,G,23.58,13,18.7,13.5,17.3,7,0.714,17,0.529,42,0.357,0.534,0.548,5.2,1.7,5,1.3,9.4,0.46,0.23,1,4.8,99.1,105.6
183,Pascal Siakam,Tor,F,26.53,11,38,23.6,9.8,46,0.717,129,0.481,53,0.189,0.423,0.462,17,7.5,10.7,3.8,16,1.09,0.36,2,8.3,96.6,100.4
184,Anfernee Simons,Por,G,21.35,4,20.5,16.6,12.3,6,0.833,12,0.167,14,0.429,0.423,0.471,6.8,2.8,7.1,2.5,17.8,1.5,0,1,7.1,101.7,107.9
