RANK,NAME,TEAM,POS,AGE,GP,MPG,USGp,Top,FTA,FTp,TwPA,TwPp,ThPA,ThPp,eFGp,TSp,PPG,RPG,APG,SPG,BPG,TPG,VI,ORTG,DRTG
69,Aron Baynes,Bos,F-C,32.51,9,12.8,7.5,25.2,2,0.5,8,0.75,6,0.333,0.643,0.638,2.1,2.8,0.3,0.33,0.33,0.56,3.8,107.9,92.5
70,Jaylen Brown,Bos,F,22.64,9,30.4,18.4,13,30,0.767,47,0.638,40,0.35,0.586,0.624,13.9,5.8,1.1,0.67,0.22,1.67,5.9,111.6,99.8
71,Gordon Hayward,Bos,F,29.23,9,29.6,15.3,16.1,19,1,46,0.435,24,0.375,0.479,0.549,9.6,4,2.4,0.67,0.33,1.67,6.1,103.8,106.6
72,Al Horford,Bos,F-C,33.03,9,34.5,19.3,13.9,18,0.833,66,0.424,44,0.409,0.5,0.53,13.9,9,4.4,0.44,0.78,2.11,9.5,107.1,103.5
73,Kyrie Irving,Bos,G,27.23,9,36.7,29.8,12.5,40,0.9,121,0.421,58,0.31,0.436,0.488,21.3,4.4,7,1.33,0.44,3.11,9.5,100.5,104.1
74,Marcus Morris,Bos,F,29.78,9,28.3,17.2,7,31,0.742,39,0.59,40,0.45,0.633,0.664,13.7,8.1,1.2,0.11,0.56,0.78,7.2,130,101.3
75,Terry Rozier,Bos,G,25.24,9,18,20.6,13.2,16,0.75,25,0.44,34,0.235,0.39,0.439,6.4,4.3,1.9,0.44,0.22,1.11,8.3,91.5,100
76,Jayson Tatum,Bos,F,21.28,9,32.8,21.8,12.2,39,0.744,81,0.481,31,0.323,0.482,0.53,15.2,6.7,1.9,1.11,0.78,2,7.1,100.7,102.9
77,Malcolm Miller,Tor,F,26.27,10,2.8,17.5,9.3,4,0.75,2,0.5,6,0.167,0.313,0.41,0.8,0.5,0.1,0,0.1,0.1,4.9,,
78,Tony Snell,Mil,G,27.59,9,3.2,9.1,0,0,0,4,0.25,2,0.5,0.417,0.417,0.6,0.2,0,0.11,0.11,0,0,,
79,Iman Shumpert,Hou,G,28.97,8,13.7,12.3,9.8,4,0.25,4,0.5,22,0.364,0.538,0.522,3.6,1.5,0.3,0.13,0,0.38,3.4,99.1,106.9
80,D.J. Wilson,Mil,F,23.32,8,5.3,24,29.3,2,1,11,0.636,5,0.2,0.531,0.563,2.4,1.3,0.5,0,0.13,0.88,8.8,84.9,91.6
81,Eric Moreland,Tor,F-C,27.47,8,3.5,3.2,0,0,0,2,0.5,0,0,0.5,0.5,0.3,1.6,0.4,0,0,0,6.6,,
82,Patrick McCaw,Tor,G,23.64,11,4.4,6.4,14.5,2,1,2,0,3,0.333,0.3,0.425,0.5,0.3,0.4,0.18,0,0.09,3.6,112.5,104.9
83,LaMarcus Aldridge,San,F,33.9,7,34.9,27,4.9,33,0.818,110,0.473,11,0.273,0.467,0.517,20,9.6,2.7,0.71,1,1,9.2,112.3,103.8
84,Marco Belinelli,San,G-F,33.22,7,18.8,15,4.7,6,0.833,17,0.353,21,0.381,0.474,0.504,5.9,1.9,1.1,0,0.29,0.29,4.9,106.3,111.3
85,DeMar DeRozan,San,G,29.85,7,35.8,27.8,8,44,0.864,118,0.492,1,0,0.487,0.557,22,6.7,4.6,1.14,0.14,1.71,9.8,115.8,106.9
86,Bryn Forbes,San,G,25.89,7,30.3,13.7,4.8,9,0.667,25,0.48,31,0.484,0.616,0.625,10.7,3.6,1,0.14,0.14,0.43,4.5,122,109.3
87,Rudy Gay,San,F,32.83,7,25.5,22.7,11.4,17,0.824,51,0.392,19,0.421,0.457,0.503,11.1,7.1,1.7,0.43,0.71,1.43,8,103.7,105.3
88,Patty Mills,San,G,30.84,7,21.8,15.3,6,10,0.6,21,0.524,22,0.136,0.36,0.39,5.3,2.1,3.6,1,0.14,0.43,6.3,98.7,107.9
89,Jakob Poeltl,San,C,23.66,7,25.3,11.2,7,9,0.556,35,0.657,1,0,0.639,0.638,7.3,7.7,1.7,0.29,0.71,0.43,7.2,144.4,98.6
90,Derrick White,San,G,24.95,7,27.2,24.6,14.8,26,0.731,58,0.621,17,0.294,0.58,0.613,15.1,3,3,0.71,0.71,2.14,7.6,110.8,105.5
91,Danuel House Jr.,Hou,F-G,26.02,7,20.1,13.9,9,8,0.5,6,0.5,31,0.258,0.405,0.42,4.9,3.1,0.1,0.43,0.29,0.57,2.3,83.8,106.4
92,Daniel Theis,Bos,F,27.19,7,6,16.6,6.3,2,1,12,0.417,2,0,0.357,0.403,1.7,1.4,0,0.14,0.14,0.14,0,92.7,101.9
93,Jonathon Simmons,Phi,F,29.75,7,7.4,30.8,15.9,4,0.75,20,0.4,10,0.2,0.367,0.394,3.6,1.3,0.3,0.14,0,0.86,6.1,73.4,109.7
94,Nene,Hou,C-F,36.75,7,7.5,14.1,17.7,9,0.778,10,1,0,0,1,0.967,3.9,2,0.4,0.43,0.29,0.43,7.8,169.4,99.8
95,Jeremy Lin,Tor,G,30.81,8,3.4,26.5,31.7,4,1,7,0.143,2,0.5,0.278,0.418,1.1,0.4,0.5,0.13,0,0.63,7.1,,
96,Malcolm Brogdon,Mil,G,26.51,7,28.3,20.1,10.8,11,0.636,41,0.512,37,0.378,0.538,0.549,13,4.9,3.4,0.71,0.14,1.43,8.5,110.2,100.5
97,Patrick Beverley,Lac,G,30.92,6,32.4,12.8,16.5,8,0.75,17,0.412,30,0.433,0.564,0.584,9.8,8,4.7,1,0.83,1.67,8.9,118.2,102.3
98,Danilo Gallinari,Lac,F,30.85,6,33.6,27.8,8.8,33,0.848,67,0.388,43,0.302,0.414,0.478,19.8,6.2,2.7,1.33,0.17,2,8.2,99.1,107.7
99,Shai Gilgeous-Alexander,Lac,G,20.92,6,28.8,17.6,6.8,20,0.85,42,0.452,18,0.5,0.542,0.596,13.7,2.7,3.2,1,0.83,0.83,6.8,124.6,106.9
100,JaMychal Green,Lac,F,28.98,6,23.5,17,18.8,10,0.8,20,0.55,23,0.522,0.674,0.696,11,5.3,0.8,0.67,0,1.83,6.1,114.1,98.1
101,Montrezl Harrell,Lac,F-C,25.38,6,26.3,21.5,9.7,26,0.692,62,0.742,1,0,0.73,0.739,18.3,5.5,2.2,0.5,0.67,1.33,9.2,138.4,103.7
102,Landry Shamet,Lac,G,22.26,6,29,11.7,14.2,10,1,7,0.429,31,0.323,0.474,0.542,7.7,2,1.7,1,0,1.17,4.1,104.2,108.4
103,Garrett Temple,Lac,G-F,33.1,6,10.5,11.4,11.5,10,0.7,4,0.5,7,0.143,0.318,0.455,2.3,1.2,0.3,0.5,0.17,0.33,3.6,94.5,102.5
104,Lou Williams,Lac,G,32.63,6,29.4,32.6,12.9,41,0.829,86,0.453,18,0.333,0.462,0.533,21.7,2.8,7.7,0.83,0.17,3,10.6,110.6,109.4
105,Lonnie Walker IV,San,G,20.5,6,3.5,17.6,0,0,0,7,0.429,1,0,0.375,0.375,1,0.3,0.5,0,0,0,6.1,,
106,Kenneth Faried,Hou,F-C,29.57,6,9.4,12.2,0,6,0.833,12,0.667,1,1,0.731,0.767,4,3.5,0.3,0.33,0,0,6.9,165.2,96.9
107,Semi Ojeleye,Bos,F,24.52,6,5.8,13.8,9.2,2,1,4,0.25,5,0.6,0.611,0.658,2.2,0.3,0.3,0,0,0.17,4,127.9,101.3
108,Jake Layman,Por,F,25.27,6,3.4,18.8,0,4,0.75,2,0.5,5,0,0.143,0.285,0.8,0.7,0,0,0,0,0,,
109,Jarrett Allen,Bro,C,21.15,5,22,18,16.4,20,0.85,32,0.594,0,0,0.594,0.674,11,6.8,2.2,0.6,0.6,1.6,10,130.7,100.1
110,DeMarre Carroll,Bro,F,32.88,5,23.9,15.1,6.7,8,1,14,0.143,24,0.292,0.329,0.397,6.6,4,0.4,0.8,0,0.6,3.7,90.2,106.6
111,Spencer Dinwiddie,Bro,G,26.19,5,26.3,23.5,10.5,14,0.714,38,0.474,24,0.375,0.508,0.536,14.6,2.6,1.6,0.4,0,1.6,6,103.4,108.1
112,Treveon Graham,Bro,F,25.63,5,15.7,8.1,19.2,6,0.5,3,0.667,7,0,0.2,0.277,1.4,2.2,0.6,0.4,0.2,0.6,3.1,69,101.3
113,Joe Harris,Bro,G-F,27.77,5,29.9,15.1,16.2,8,1,22,0.545,21,0.19,0.419,0.473,8.8,4.2,0.6,0.6,0,1.8,3.8,89.3,106.5
114,Caris LeVert,Bro,G,24.8,5,28.9,26.9,10.4,29,0.724,47,0.511,26,0.462,0.575,0.612,21,4.6,3,1,0.4,2,9.2,118.3,107.7
115,D'Angelo Russell,Bro,G,23.3,5,29.6,33.4,11.5,13,0.846,65,0.385,37,0.324,0.422,0.45,19.4,3.6,3.6,1.4,0.2,2.8,8.5,89.9,104.6
116,Davis Bertans,San,F,26.58,5,15.8,10.7,5.5,5,0.6,4,0.5,11,0.273,0.433,0.465,3.2,1.6,1,0,0.2,0.2,4.4,102.5,103.2
117,D.J. Augustin,Orl,G,31.59,5,28.2,17.3,12.7,16,0.875,20,0.5,21,0.476,0.61,0.666,12.8,1.6,3.8,0.4,0.2,1.4,6.1,128,110
118,Khem Birch,Orl,C,26.71,5,18.3,13.1,22.2,7,0.857,18,0.556,0,0,0.556,0.617,5.2,6.2,0.8,0.2,1,1.2,6.5,112.7,101.1
119,Michael Carter-Williams,Orl,G,27.68,5,18.5,20.4,18.8,8,0.875,23,0.435,8,0.25,0.419,0.478,6.6,4,2.4,0.6,0,1.6,8.6,93,96.2
120,Evan Fournier,Orl,G-F,26.62,5,35,21.4,14.2,8,0.75,35,0.457,34,0.235,0.406,0.427,12.4,3.2,2,1.4,0,2.4,4.9,81.6,104.3
121,Aaron Gordon,Orl,F,23.74,5,32.8,22.5,15.6,19,0.526,42,0.5,20,0.4,0.532,0.54,15.2,7.2,3.6,1.2,0.2,2.6,8.9,103.8,100.5
122,Jonathan Isaac,Orl,F,21.7,5,27.3,15.7,10.3,8,0.875,20,0.35,20,0.2,0.325,0.379,6.6,6.2,0.4,0.4,1,1,3.7,85,105.4
123,Wes Iwundu,Orl,F,24.48,5,12,17.7,8.3,9,1,9,0.333,9,0.333,0.417,0.546,4.8,1.4,0.8,0.6,0,0.4,5.8,112.6,104
124,Terrence Ross,Orl,G-F,28.35,5,29.2,21.7,14,17,0.824,19,0.421,35,0.343,0.481,0.537,13.2,3.6,1.4,1.2,0.4,2,5.6,97.8,104.4
125,Nikola Vucevic,Orl,C,28.64,5,29.5,23.2,16.8,14,0.786,45,0.4,13,0.231,0.388,0.436,11.2,8,3,0.4,1,2.6,8.8,88.6,102.4
126,Steven Adams,Okc,C,25.9,5,31.8,14.6,16.5,8,0.375,41,0.683,1,0,0.667,0.648,11.8,7.2,1.4,1,1,1.8,6.2,115.6,102.7
127,Raymond Felton,Okc,G,34.97,5,11.4,11.9,12.6,2,0.5,5,0.4,8,0.25,0.385,0.396,2.2,0.6,0.6,0.8,0.2,0.4,3.2,82.2,98.6
128,Terrance Ferguson,Okc,G,21.08,5,25.6,10,16.7,0,0,7,0.286,18,0.389,0.5,0.5,5,2.4,1.2,0.4,0,1,3.8,95.8,98.7
129,Paul George,Okc,F,29.12,5,40.8,29.9,14,49,0.816,54,0.537,47,0.319,0.51,0.583,28.6,8.6,3.6,1.4,0.2,4,9.4,110.1,99.6
130,Jerami Grant,Okc,F,25.26,5,35.2,12.1,8,13,0.692,20,0.55,20,0.45,0.613,0.634,11.6,5.6,0.8,0.6,2,0.8,4.2,125.2,105
131,Markieff Morris,Okc,F,29.78,5,11.8,16,9.1,9,0.778,9,0.333,7,0.286,0.375,0.476,3.8,2.6,1,0.2,0.6,0.4,7.3,110.2,96.1
132,Nerlens Noel,Okc,F-C,25.18,5,12.1,18.3,19.3,2,0,20,0.6,0,0,0.6,0.575,4.8,3.8,0,0.4,0.6,1,0,104.2,96
133,Dennis Schroder,Okc,G,25.75,5,30.1,19.5,8.7,18,0.722,35,0.543,20,0.3,0.509,0.548,13.8,3.2,3.4,0.8,0,1.2,7.1,114.7,105.5
134,Russell Westbrook,Okc,G,30.58,5,39.4,31.5,15.8,26,0.885,77,0.377,34,0.324,0.41,0.466,22.8,8.8,10.6,1,0.6,4.6,13.1,100.4,100.7
135,Jae Crowder,Uta,F,28.94,5,26,18.1,1.8,19,0.737,16,0.5,30,0.3,0.467,0.524,11.4,5.8,0.8,1,0,0.2,5.8,114.1,102.1
136,Derrick Favors,Uta,F-C,27.92,5,20.6,20.4,10.1,19,0.684,33,0.697,3,0,0.639,0.665,11.8,7.4,0.8,0.8,1.8,1,8,130.6,94.9
137,Rudy Gobert,Uta,C,26.97,5,30.4,14.3,17.6,23,0.783,32,0.594,0,0,0.594,0.665,11.2,10.2,1.4,0.6,2.6,1.8,7.1,129.3,97.9
138,Joe Ingles,Uta,F,31.7,5,30.1,12.7,17.8,0,0,8,0.5,29,0.276,0.432,0.432,6.4,4.8,5,2.2,0,1.6,7.1,98.6,97.2
139,Donovan Mitchell,Uta,G,22.77,5,38.6,32.5,14.2,33,0.727,69,0.362,43,0.256,0.371,0.423,21.4,5,3.2,1.6,0.2,4.2,7.2,83.1,101.8
140,Georges Niang,Uta,F,25.99,5,11,18.6,8.3,0,0,9,0.556,13,0.308,0.5,0.5,4.4,2.8,1,0.2,0.2,0.4,8.4,100.4,98
141,Royce O'Neale,Uta,F,26.03,5,27.4,17.6,17.6,4,0.75,22,0.591,23,0.348,0.556,0.567,10.6,4.6,1.6,0.4,0.4,2,6.2,97.3,98.8
142,Ricky Rubio,Uta,G,28.65,5,33.5,22.8,16.7,20,0.85,46,0.522,20,0.2,0.455,0.515,15.4,3.2,8.6,2.4,0.2,3,9,108.5,99.7
143,Jerome Robinson,Lac,G,22.31,5,9.2,15.3,5.8,5,1,8,0.25,6,0.5,0.464,0.556,3.6,1.2,1.4,0.4,0,0.2,7.9,128.5,107.2
144,Dante Cunningham,San,F,32.15,5,2.6,10.8,0,0,0,1,0,2,1,1,1,1.2,1.2,0,0,0,0,0,,
145,Donatas Motiejunas,San,F-C,28.73,5,3.7,27.2,0,2,0.5,9,0.667,1,0,0.6,0.597,2.6,1.4,0.4,0,0,0,12.3,,
146,Quincy Pondexter,San,F,31.26,5,2.4,7.7,0,0,0,1,0,1,0,0,0,0,0.2,0.4,0.2,0,0,0,,
147,Juancho Hernangomez,Den,F,23.71,5,2.9,12.3,25,0,0,1,0,2,0.5,0.5,0.5,0.6,0.6,0,0,0,0.2,0,,
148,Anfernee Simons,Por,G,20.02,5,2.4,33.3,0,5,0.8,5,0,2,0,0,0.217,0.8,0,0,0.2,0,0,0,,
149,Jacob Evans,Gol,G,21.99,7,2.5,17.3,28.6,0,0,3,0.333,2,0.5,0.5,0.5,0.7,0.1,0.1,0,0,0.29,3.1,,
150,Wilson Chandler,Lac,F,32.1,4,13.1,16.3,14.5,4,1,6,0.667,10,0.1,0.344,0.422,3.8,1.5,0.5,0.5,0,0.75,4.3,80.4,101.9
151,Bojan Bogdanovic,Ind,F,30.16,4,36.9,23.8,7.8,17,0.882,41,0.439,22,0.318,0.452,0.511,18,5.8,2.8,2,0,1.5,7.2,104.4,104.5
152,Darren Collison,Ind,G,31.81,4,29.2,22.7,17.3,6,1,34,0.441,11,0.364,0.467,0.504,12,3,4,0.5,0,2.5,7.2,97.8,103.6
153,Tyreke Evans,Ind,G,29.74,4,21,32.9,10,14,0.571,28,0.357,20,0.55,0.552,0.563,15.3,4.3,0.8,0.5,0.25,1.5,7.1,99.7,99
154,Cory Joseph,Ind,G,27.82,4,21.3,13.4,0,2,1,15,0.533,9,0.444,0.583,0.603,7.5,1.8,1,1,0,0,4.5,127.9,103
155,Wesley Matthews,Ind,G-F,32.67,4,29.7,15.2,20.3,3,1,9,0.222,21,0.333,0.417,0.447,7,2.5,2,0.75,0.25,2,4.4,80.8,107.4
156,Domantas Sabonis,Ind,F,23.11,4,24,19.2,12.5,14,0.643,25,0.44,4,0.25,0.431,0.484,8.5,7.3,4,0.75,0.25,1.25,10.5,109.6,94.4
